subroutine,Instruction,Call address,Destination,Resolved name
-,call,0x42e7c9,0x770a00b0,
-,call,0x42e80b,0x7709e8b0,
-,call,0x42e8f9,0x770a00b0,
-,call,0x42e93b,0x7709e8b0,
-,call,0x42eaa9,0x770a00b0,
-,call,0x42eaeb,0x7709e8b0,
-,call,0x42ebb7,0x770a00b0,
-,call,0x42ebfa,0x7709e8b0,
-,call,0x42edb9,0x73305b67,
-,call,0x42efb4,0x732f72b6,
-,call,0x42f42d,0x6f64ccc9,
-,call,0x42f44a,0x6f64ccc9,
-,call,0x42f457,0x6f64ccc9,
-,call,0x42f4d9,0x6f64ccc9,
-,call,0x42f4e6,0x6f64ccc9,
-,call,0x42f56b,0x6f64ccc9,
-,call,0x42f578,0x6f64ccc9,
-,call,0x4309e2,0x6f613369,
-,call,0x43133c,0x6f613369,
-,call,0x4313fa,0x6f64ccc9,
-,call,0x4315f1,0x6f613369,
-,call,0x431a60,0x6f64ccc9,
-,call,0x431a70,0x6f64ccc9,
-,call,0x431a7f,0x6f64ccc9,
-,call,0x431b20,0x6f64ccc9,
-,call,0x431b30,0x6f64ccc9,
-,call,0x431b3f,0x6f64ccc9,
-,call,0x431d62,0x6f64ccc9,
-,call,0x431df1,0x6f64ccc9,
-,call,0x431ebb,0x6f64ccc9,
-,call,0x431fc7,0x6f64ccc9,
-,call,0x432621,0x6f64ccc9,
-,call,0x432639,0x6f64ccc9,
-,call,0x432646,0x6f64ccc9,
-,call,0x432b46,0x6f64ccc9,
-,call,0x432b53,0x6f64ccc9,
-,call,0x432eb9,0x6f64ccc9,
-,call,0x432ee0,0x6f64ccc9,
-,call,0x432ef4,0x6f64ccc9,
-,call,0x432f77,0x6f64ccc9,
-,call,0x432f84,0x6f64ccc9,
-,call,0x43300e,0x6f64ccc9,
-,call,0x43301b,0x6f64ccc9,
-,call,0x433180,0x6f64ccc9,
-,call,0x43318d,0x6f64ccc9,
-,call,0x4331f1,0x6f64ccc9,
-,call,0x43320d,0x73308a4b,
-,call,0x433257,0x73306075,
-,call,0x43330f,0x6f64ccc9,
-,call,0x433335,0x6f64ccc9,
-,call,0x4333cd,0x6f64ccc9,
-,call,0x4333ed,0x73308a4b,
-,call,0x433439,0x73306075,
-,call,0x433447,0x6f64ccc9,
-,call,0x433454,0x6f64ccc9,
-,call,0x4334c2,0x6f64ccc9,
-,call,0x433638,0x6f613369,
-,call,0x434385,0x732f72b6,
-,call,0x434841,0x732f5e81,
-,call,0x43485b,0x732f72b6,
-,call,0x43486d,0x732f72de,
-,call,0x434a13,0x732f5ebb,
-,call,0x435dc9,0x770a00b0,
-,call,0x435e0b,0x7709e8b0,
-,call,0x435e6f,0x6f64ccc9,
-,call,0x435e81,0x6f64ccc9,
-,call,0x435e8c,0x6f64ccc9,
-,call,0x435ec5,0x74f135f0,
-,call,0x435ef5,0x74f135f0,
-,call,0x435f20,0x74f135f0,
-,call,0x435f40,0x74f135f0,
-,call,0x436025,0x74f135f0,
-,call,0x436055,0x74f135f0,
-,call,0x436151,0x732f72b6,
-,call,0x4374c8,0x6f64ccc9,
-,call,0x437560,0x6f64ccc9,
-,call,0x43758b,0x6f64ccc9,
-,call,0x43759b,0x6f64ccc9,
-,call,0x4375c6,0x6f64ccc9,
-,call,0x4375d6,0x6f64ccc9,
-,call,0x437a79,0x766d7bb0,
-,call,0x437e19,0x766d7bb0,
-,call,0x43827f,0x6f64ccc9,
-,call,0x43837e,0x6f64ccc9,
-,call,0x438417,0x6f64ccc9,
-,call,0x4384a6,0x6f64ccc9,
-,call,0x438676,0x6f64ccc9,
-,call,0x43870e,0x6f64ccc9,
-,call,0x43879d,0x6f64ccc9,
-,call,0x4387c0,0x6f64ccc9,
-,call,0x4387e8,0x766d7bb0,
-,call,0x438876,0x6f64ccc9,
-,call,0x438d1c,0x6f64ccc9,
-,call,0x438d3a,0x6f64ccc9,
-,call,0x438daf,0x6f64ccc9,
-,call,0x438dc3,0x6f64ccc9,
-,call,0x438e13,0x6f64ccc9,
-,call,0x438e40,0x6f64ccc9,
-,call,0x439619,0x770a00b0,
-,call,0x43965b,0x7709e8b0,
-,call,0x43972a,0x770a00b0,
-,call,0x439770,0x7709e8b0,
-,call,0x4397c7,0x770a00b0,
-,call,0x4397f6,0x7709e8b0,
-,call,0x439960,0x732f72b6,
-,call,0x43c660,0x6f64ccc9,
-,call,0x43ca15,0x6e3a1380,
-,call,0x43cb03,0x7639e290,
-,call,0x43cb43,0x7639e290,
-,call,0x43cb92,0x6e3a1380,
-,call,0x43f134,0x6e3a1380,
-,call,0x43f285,0x6e3a1380,
-,call,0x43f62c,0x6e3a1380,
-,call,0x440908,0x6f61722a,
-,call,0x440da6,0x6f612e73,
-,call,0x440e7c,0x6f612e73,
-,call,0x441afd,0x6f64ccc9,
-,call,0x441b1f,0x6f64ccc9,
-,call,0x441b81,0x6f64ccc9,
-,call,0x441ba4,0x6f64ccc9,
-,call,0x441bb1,0x6f64ccc9,
-,call,0x441de0,0x6f64ccc9,
-,call,0x441ded,0x6f64ccc9,
-,call,0x441eca,0x6f64ccc9,
-,call,0x441eea,0x6f64ccc9,
-,call,0x441f2d,0x6f64ccc9,
-,call,0x441f46,0x6f64ccc9,
-,call,0x441f53,0x6f64ccc9,
-,call,0x441f8c,0x6f64ccc9,
-,call,0x441f99,0x6f64ccc9,
-,call,0x4423e3,0x6f64ccc9,
-,call,0x442401,0x6f64ccc9,
-,call,0x442468,0x6f64ccc9,
-,call,0x442475,0x6f64ccc9,
-,call,0x442496,0x6f64ccc9,
-,call,0x4424ac,0x6f64ccc9,
-,call,0x4424bc,0x6f64ccc9,
-,call,0x442806,0x6f613369,
-,call,0x442a00,0x6f613369,
-,call,0x442a28,0x6f613369,
-,call,0x442a48,0x6f613369,
-,call,0x443e29,0x770a00b0,
-,call,0x443e6b,0x7709e8b0,
-,call,0x443ec6,0x6f64ccc9,
-,call,0x443ed8,0x6f64ccc9,
-,call,0x443ee3,0x6f64ccc9,
-,call,0x444009,0x770a00b0,
-,call,0x44404b,0x7709e8b0,
-,call,0x444119,0x770a00b0,
-,call,0x44415b,0x7709e8b0,
-,call,0x444229,0x770a00b0,
-,call,0x44426b,0x7709e8b0,
-,call,0x44432d,0x6f64ccc9,
-,call,0x44433b,0x6f64ccc9,
-,call,0x444348,0x6f64ccc9,
-,call,0x444372,0x6f64ccc9,
-,call,0x44437d,0x6f64ccc9,
-,call,0x44452b,0x6f64ccc9,
-,call,0x444681,0x732f72b6,
-,call,0x44976c,0x73308a4b,
-,call,0x4497cd,0x73308b0f,
-,call,0x449b58,0x73306075,
-,call,0x44abb6,0x6f64ccc9,
-,call,0x44abd4,0x6f64ccc9,
-,call,0x44acd1,0x6f64ccc9,
-,call,0x44e246,0x6f64ccc9,
-,call,0x44e80e,0x6f64ccc9,
-,call,0x44ed01,0x6f613369,
-,call,0x44ed76,0x6f6549c0,
-,call,0x44edad,0x6f613369,
-,call,0x44ee81,0x6f64ccc9,
-,call,0x44eed2,0x6f64ccc9,
-,call,0x44ef43,0x6f64ccc9,
-,call,0x44ef91,0x6f64ccc9,
-,call,0x44efd4,0x6f64ccc9,
-,call,0x44efe8,0x6f64ccc9,
-,call,0x44f019,0x6f64ccc9,
-,call,0x44f031,0x6f64ccc9,
-,call,0x44f17b,0x6f64ccc9,
-,call,0x44f1bc,0x6f64ccc9,
-,call,0x44f20c,0x6f613369,
-,call,0x44f339,0x770a00b0,
-,call,0x44f37b,0x7709e8b0,
-,call,0x44f4a9,0x770a00b0,
-,call,0x44f4eb,0x7709e8b0,
-,call,0x44f55d,0x6f64ccc9,
-,call,0x44f5a5,0x6f64ccc9,
-,call,0x44f5f9,0x770a00b0,
-,call,0x44f63b,0x7709e8b0,
-,call,0x44f696,0x6f64ccc9,
-,call,0x44f6a8,0x6f64ccc9,
-,call,0x44f6b3,0x6f64ccc9,
